time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
490,145,e0,635.851579531,377.441694132,0,0,0,0,0,5,yellow
490,180,e0,345.324704747,102.12201968,0,0,0,0,0,5,yellow
490,165,e0,616.557432055,367.14565066,0,0,0,0,0,5,yellow
490,211,e0,447.615120644,235.138068065,0,0,0,0,0,5,yellow
490,8,psm,309.272389521,425.653852101,0,0,0,0,0,10,red
490,205,e0,569.701183056,134.486096376,0,0,0,0,0,5,yellow
490,219,e0,133.155262866,35.6463780548,0,0,0,0,0,5,yellow
490,184,e0,295.336903894,247.918868283,0,0,0,0,0,5,yellow
490,92,food,190.57652495,76.0014930908,0,0,0,0,0,5,green
490,215,e0,828.60940545,263.551126497,0,0,0,0,0,5,yellow
490,63,food,973.431433551,508.736594493,0,0,0,0,0,5,green
490,49,food,630.178798724,196.630614571,0,0,0,0,0,5,green
490,162,e0,130.285241643,188.970289679,0,0,0,0,0,5,yellow
490,174,e0,298.756983465,136.248262087,0,0,0,0,0,5,yellow
490,188,e0,738.372047608,13.7301612003,0,0,0,0,0,5,yellow
490,190,e0,972.226246796,335.749171962,0,0,0,0,0,5,yellow
490,76,food,931.705079289,347.298056028,0,0,0,0,0,5,green
490,18,psm,591.959929281,365.085191431,0,0,0,0,0,10,red
490,121,e0,904.218668769,477.370694911,0,0,0,0,0,5,yellow
490,132,e0,577.953690399,149.763975285,0,0,0,0,0,5,yellow
490,108,food,49.5892365505,344.825438,0,0,0,0,0,5,green
490,197,e0,550.845793727,130.055130329,0,0,0,0,0,5,yellow
490,127,e0,268.480965129,339.6278498,0,0,0,0,0,5,yellow
490,170,e0,381.66988189,408.681519211,0,0,0,0,0,5,yellow
490,135,e0,358.512800841,299.766991588,0,0,0,0,0,5,yellow
490,159,e0,735.414002505,208.660540129,0,0,0,0,0,5,yellow
490,85,food,239.724949761,516.932857484,0,0,0,0,0,5,green
490,66,food,282.369065557,308.821037971,0,0,0,0,0,5,green
490,107,food,331.05743259,56.1870888577,0,0,0,0,0,5,green
490,147,e0,693.319089713,334.287549381,0,0,0,0,0,5,yellow
490,158,e0,306.555951895,220.603899237,0,0,0,0,0,5,yellow
490,39,food,281.4629752,392.693349488,0,0,0,0,0,5,green
490,70,food,523.013363324,133.842131892,0,0,0,0,0,5,green
490,34,food,289.107290522,405.655339549,0,0,0,0,0,5,green
490,100,food,842.584129891,388.379796387,0,0,0,0,0,5,green
490,31,food,154.905259653,69.9063775428,0,0,0,0,0,5,green
490,17,psm,564.57351333,214.336811682,0,0,0,0,0,10,red
490,114,food,842.302657447,315.119779722,0,0,0,0,0,5,green
490,46,food,452.559941621,432.044454619,0,0,0,0,0,5,green
490,172,e0,823.163185928,228.771198924,0,0,0,0,0,5,yellow
490,97,food,961.459033175,419.989753872,0,0,0,0,0,5,green
490,126,e0,849.503110318,59.1749286848,0,0,0,0,0,5,yellow
490,55,food,435.023833146,446.000008612,0,0,0,0,0,5,green
490,83,food,302.172455396,80.886918258,0,0,0,0,0,5,green
490,88,food,599.041214039,120.348314517,0,0,0,0,0,5,green
490,203,e0,225.590173013,258.089897558,0,0,0,0,0,5,yellow
490,10,psm,96.9741924573,295.154005403,0,0,0,0,0,10,red
490,143,e0,361.356310765,477.83142105,0,0,0,0,0,5,yellow
490,198,e0,709.954604025,126.569960197,0,0,0,0,0,5,yellow
490,3,psm,322.930550534,406.158715256,0,0,0,0,0,10,red
490,41,food,346.517562061,248.069948425,0,0,0,0,0,5,green
490,150,e0,146.959933397,491.825479823,0,0,0,0,0,5,yellow
490,0,psm,777.575350074,406.211838749,0,0,0,0,0,10,red
490,141,e0,525.21712447,491.007538838,0,0,0,0,0,5,yellow
490,61,food,651.17916806,179.570030157,0,0,0,0,0,5,green
490,103,food,124.017305662,433.335193496,0,0,0,0,0,5,green
490,69,food,261.126019382,220.022758112,0,0,0,0,0,5,green
490,140,e0,665.393807057,234.465222748,0,0,0,0,0,5,yellow
490,146,e0,735.704432357,382.848070148,0,0,0,0,0,5,yellow
490,1,psm,505.928949984,261.22559687,0,0,0,0,0,10,red
490,153,e0,614.576271153,21.6941631903,0,0,0,0,0,5,yellow
490,194,e0,218.517002296,452.953690515,0,0,0,0,0,5,yellow
490,71,food,552.712149954,95.0521589324,0,0,0,0,0,5,green
490,168,e0,324.866888259,135.274470139,0,0,0,0,0,5,yellow
490,26,food,187.232957131,137.751798866,0,0,0,0,0,5,green
490,42,food,555.103949637,0,0,0,0,0,0,5,green
490,67,food,308.314813985,454.997043471,0,0,0,0,0,5,green
490,38,food,114.293906782,332.430417417,0,0,0,0,0,5,green
490,129,e0,877.979504613,129.479163559,0,0,0,0,0,5,yellow
490,187,e0,373.65616153,513.968194971,0,0,0,0,0,5,yellow
490,80,food,240.733016647,418.3414673,0,0,0,0,0,5,green
