time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
70,145,e0,627.146039774,305.298968362,0,0,0,0,0,5,yellow
70,180,e0,291.167129594,83.5719233766,0,0,0,0,0,5,yellow
70,165,e0,664.182546948,408.42269768,0,0,0,0,0,5,yellow
70,211,e0,512.012067526,231.210853206,0,0,0,0,0,5,yellow
70,8,psm,306.993005594,422.167759338,0,0,0,0,0,10,red
70,205,e0,543.943794267,203.997788411,0,0,0,0,0,5,yellow
70,219,e0,174.971803501,58.9341362818,0,0,0,0,0,5,yellow
70,184,e0,332.516777205,285.94934301,0,0,0,0,0,5,yellow
70,92,food,115.212505031,84.1224442261,0,0,0,0,0,5,green
70,215,e0,765.170783786,247.826036085,0,0,0,0,0,5,yellow
70,63,food,911.053606161,516.696540265,0,0,0,0,0,5,green
70,49,food,676.957536125,251.244767667,0,0,0,0,0,5,green
70,162,e0,110.259468478,195.299496925,0,0,0,0,0,5,yellow
70,174,e0,264.584982285,98.6297967499,0,0,0,0,0,5,yellow
70,188,e0,697.032111866,69.1947917978,0,0,0,0,0,5,yellow
70,190,e0,932.834398493,285.513821336,0,0,0,0,0,5,yellow
70,76,food,933.516044386,369.898795871,0,0,0,0,0,5,green
70,18,psm,589.594345937,363.090967262,0,0,0,0,0,10,red
70,121,e0,877.432220129,516.949451367,0,0,0,0,0,5,yellow
70,132,e0,625.544322078,143.144209732,0,0,0,0,0,5,yellow
70,151,e0,520.890494112,343.148193642,0,0,0,0,0,5,yellow
70,108,food,75.7882944837,357.606150093,0,0,0,0,0,5,green
70,197,e0,533.689538584,182.0453971,0,0,0,0,0,5,yellow
70,127,e0,235.499367374,386.009696111,0,0,0,0,0,5,yellow
70,170,e0,451.831498504,404.780055555,0,0,0,0,0,5,yellow
70,135,e0,312.744454064,260.27838358,0,0,0,0,0,5,yellow
70,159,e0,677.817290908,240.918652671,0,0,0,0,0,5,yellow
80,145,e0,627.952607779,307.096535012,0,0,0,0,0,5,yellow
80,180,e0,292.651355643,84.8365601627,0,0,0,0,0,5,yellow
80,165,e0,662.75263549,407.06582148,0,0,0,0,0,5,yellow
80,211,e0,510.32822927,230.154514694,0,0,0,0,0,5,yellow
80,8,psm,306.8419681,422.238189278,0,0,0,0,0,10,red
80,205,e0,544.663888366,202.14090878,0,0,0,0,0,5,yellow
80,219,e0,173.133247669,59.665687448,0,0,0,0,0,5,yellow
80,184,e0,331.02752974,287.238058156,0,0,0,0,0,5,yellow
80,92,food,116.5765223,82.6750113757,0,0,0,0,0,5,green
80,215,e0,766.885431923,248.835922728,0,0,0,0,0,5,yellow
80,63,food,913.038989904,516.679080605,0,0,0,0,0,5,green
80,49,food,675.620731885,249.765474324,0,0,0,0,0,5,green
80,162,e0,112.221886161,195.009701944,0,0,0,0,0,5,yellow
80,174,e0,264.805503724,100.595100128,0,0,0,0,0,5,yellow
80,188,e0,699.017530534,69.2601483229,0,0,0,0,0,5,yellow
80,190,e0,933.462718529,287.393621659,0,0,0,0,0,5,yellow
80,76,food,935.12397267,368.752145787,0,0,0,0,0,5,green
80,18,psm,589.435010358,363.139681037,0,0,0,0,0,10,red
80,121,e0,877.372990581,514.989592618,0,0,0,0,0,5,yellow
80,132,e0,627.333825684,143.937058855,0,0,0,0,0,5,yellow
80,151,e0,519.297777232,344.323315499,0,0,0,0,0,5,yellow
80,108,food,73.7972071217,357.539924495,0,0,0,0,0,5,green
80,197,e0,535.076129912,183.465548369,0,0,0,0,0,5,yellow
80,127,e0,237.184176617,384.96494717,0,0,0,0,0,5,yellow
80,170,e0,449.895905231,404.47337715,0,0,0,0,0,5,yellow
80,135,e0,314.721456607,260.510410027,0,0,0,0,0,5,yellow
80,159,e0,676.52524729,239.484500903,0,0,0,0,0,5,yellow
80,85,food,187.193008187,544.965297873,0,0,0,0,0,5,green
80,66,food,237.973818624,344.196255823,0,0,0,0,0,5,green
80,107,food,397.006719275,73.1008979231,0,0,0,0,0,5,green
80,147,e0,741.606221608,364.934104096,0,0,0,0,0,5,yellow
80,158,e0,312.733366255,235.703873226,0,0,0,0,0,5,yellow
90,145,e0,629.160271886,308.681738536,0,0,0,0,0,5,yellow
90,180,e0,294.163650877,86.1006599201,0,0,0,0,0,5,yellow
90,165,e0,661.676915721,405.403299575,0,0,0,0,0,5,yellow
90,211,e0,508.408277005,229.603992715,0,0,0,0,0,5,yellow
90,8,psm,306.693346268,422.313589429,0,0,0,0,0,10,red
90,205,e0,545.053485766,200.190199183,0,0,0,0,0,5,yellow
90,219,e0,171.315900577,60.4712453041,0,0,0,0,0,5,yellow
90,184,e0,329.512606418,288.532125662,0,0,0,0,0,5,yellow
90,92,food,118.378272262,81.8195697739,0,0,0,0,0,5,green
90,215,e0,768.44331417,250.075097271,0,0,0,0,0,5,yellow
90,63,food,915.024343404,516.887720833,0,0,0,0,0,5,green
90,49,food,674.121658965,248.462586275,0,0,0,0,0,5,green
90,162,e0,114.211030027,195.013135151,0,0,0,0,0,5,yellow
90,174,e0,265.01383407,102.576082818,0,0,0,0,0,5,yellow
90,188,e0,700.842051403,68.5224488985,0,0,0,0,0,5,yellow
90,190,e0,934.537488339,289.061906639,0,0,0,0,0,5,yellow
90,76,food,936.122647912,367.072330143,0,0,0,0,0,5,green
90,18,psm,589.283238242,363.207569152,0,0,0,0,0,10,red
90,121,e0,878.091571728,513.12734687,0,0,0,0,0,5,yellow
90,132,e0,628.340367005,145.632923555,0,0,0,0,0,5,yellow
90,151,e0,517.699945033,345.480958572,0,0,0,0,0,5,yellow
90,108,food,71.8218414595,357.789557828,0,0,0,0,0,5,green
90,197,e0,536.550636359,184.793288071,0,0,0,0,0,5,yellow
90,127,e0,238.981389364,384.186907402,0,0,0,0,0,5,yellow
90,170,e0,447.972009076,403.997296274,0,0,0,0,0,5,yellow
90,135,e0,316.697216882,260.596573504,0,0,0,0,0,5,yellow
