time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
430,145,e0,625.521629613,372.189365707,0,0,0,0,0,5,yellow
430,180,e0,337.643668337,93.745554829,0,0,0,0,0,5,yellow
430,165,e0,627.624727674,363.420399161,0,0,0,0,0,5,yellow
430,211,e0,456.851869882,239.751954992,0,0,0,0,0,5,yellow
430,8,psm,308.363858631,426.039308199,0,0,0,0,0,10,red
430,205,e0,570.078255468,146.150203262,0,0,0,0,0,5,yellow
430,219,e0,131.373017682,47.1501746244,0,0,0,0,0,5,yellow
430,184,e0,293.348007008,258.59650976,0,0,0,0,0,5,yellow
430,92,food,179.348172763,78.2795150927,0,0,0,0,0,5,green
430,215,e0,821.168565892,254.361938192,0,0,0,0,0,5,yellow
430,63,food,966.314790734,499.366273222,0,0,0,0,0,5,green
430,49,food,641.978143603,196.718610357,0,0,0,0,0,5,green
430,162,e0,130.194047983,177.167860539,0,0,0,0,0,5,yellow
430,174,e0,294.804396305,147.102654679,0,0,0,0,0,5,yellow
430,188,e0,737.585772126,23.2404647881,0,0,0,0,0,5,yellow
430,190,e0,961.400570724,337.559310831,0,0,0,0,0,5,yellow
430,76,food,924.54445242,339.115267279,0,0,0,0,0,5,green
430,18,psm,591.426414834,365.90337523,0,0,0,0,0,10,red
430,121,e0,901.878291925,465.835744684,0,0,0,0,0,5,yellow
430,132,e0,585.984181445,158.402880393,0,0,0,0,0,5,yellow
430,108,food,38.5061753982,346.350418008,0,0,0,0,0,5,green
430,197,e0,552.842206638,140.409484373,0,0,0,0,0,5,yellow
430,127,e0,276.832955446,347.244143131,0,0,0,0,0,5,yellow
430,170,e0,388.484250212,400.37732681,0,0,0,0,0,5,yellow
430,135,e0,356.407282427,289.309392685,0,0,0,0,0,5,yellow
430,159,e0,724.904566017,204.641319703,0,0,0,0,0,5,yellow
430,85,food,237.022379877,527.971320593,0,0,0,0,0,5,green
430,66,food,280.437728788,319.367205619,0,0,0,0,0,5,green
430,107,food,334.58817259,66.8543708662,0,0,0,0,0,5,green
430,147,e0,700.767258973,325.559497253,0,0,0,0,0,5,yellow
430,158,e0,296.892444922,226.569222101,0,0,0,0,0,5,yellow
430,39,food,269.981357627,395.020813659,0,0,0,0,0,5,green
430,70,food,514.05036154,141.030924442,0,0,0,0,0,5,green
430,34,food,284.764524384,395.510060798,0,0,0,0,0,5,green
430,100,food,834.108838222,380.859561497,0,0,0,0,0,5,green
430,31,food,143.084727499,70.700757619,0,0,0,0,0,5,green
430,17,psm,565.009339342,215.201325871,0,0,0,0,0,10,red
430,114,food,836.771473237,305.14175879,0,0,0,0,0,5,green
430,46,food,442.620576237,427.336078452,0,0,0,0,0,5,green
430,172,e0,821.701537671,239.823960307,0,0,0,0,0,5,yellow
430,97,food,963.872671757,431.663373062,0,0,0,0,0,5,green
430,126,e0,842.818518619,68.7385176609,0,0,0,0,0,5,yellow
430,55,food,425.025341979,441.170534291,0,0,0,0,0,5,green
430,83,food,293.756928363,73.620169967,0,0,0,0,0,5,green
430,88,food,608.423251349,113.480580203,0,0,0,0,0,5,green
430,203,e0,233.479775864,266.540627537,0,0,0,0,0,5,yellow
430,10,psm,97.6691510951,294.453904157,0,0,0,0,0,10,red
430,143,e0,369.661938197,469.959309306,0,0,0,0,0,5,yellow
430,198,e0,718.396523221,118.430061227,0,0,0,0,0,5,yellow
430,3,psm,322.319949631,405.394099336,0,0,0,0,0,10,red
430,41,food,354.999062897,255.317764611,0,0,0,0,0,5,green
430,150,e0,154.415061134,499.402373327,0,0,0,0,0,5,yellow
430,0,psm,776.63380713,406.501645917,0,0,0,0,0,10,red
430,141,e0,514.816794416,496.543054491,0,0,0,0,0,5,yellow
430,61,food,662.916952846,181.31829772,0,0,0,0,0,5,green
430,103,food,124.953229989,421.947335873,0,0,0,0,0,5,green
430,69,food,271.33864777,214.993379493,0,0,0,0,0,5,green
430,140,e0,672.468644089,242.333605405,0,0,0,0,0,5,yellow
430,146,e0,724.173054257,383.292247608,0,0,0,0,0,5,yellow
430,1,psm,506.217503217,260.296640632,0,0,0,0,0,10,red
430,153,e0,612.016316765,33.1259404499,0,0,0,0,0,5,yellow
430,194,e0,208.534379913,459.175413589,0,0,0,0,0,5,yellow
430,71,food,546.730039647,105.251502215,0,0,0,0,0,5,green
430,168,e0,315.023308774,138.9389272,0,0,0,0,0,5,yellow
430,26,food,180.044768319,128.59717675,0,0,0,0,0,5,green
430,42,food,554.981700357,6.2128433437,0,0,0,0,0,5,green
430,67,food,316.191323636,446.417738932,0,0,0,0,0,5,green
430,38,food,115.358367762,343.530710239,0,0,0,0,0,5,green
430,129,e0,869.162208045,136.868789577,0,0,0,0,0,5,yellow
430,187,e0,365.635885714,505.290740334,0,0,0,0,0,5,yellow
430,80,food,248.724670957,426.884211269,0,0,0,0,0,5,green
430,124,e0,678.315953626,83.8870109691,0,0,0,0,0,5,yellow
430,130,e0,943.474693991,78.5159569937,0,0,0,0,0,5,yellow
430,138,e0,586.679875449,84.2101217209,0,0,0,0,0,5,yellow
430,75,food,823.164657374,481.444988874,0,0,0,0,0,5,green
430,47,food,331.172596236,138.534560143,0,0,0,0,0,5,green
430,16,psm,567.59504803,279.625248499,0,0,0,0,0,10,red
430,45,food,646.488877807,334.201023558,0,0,0,0,0,5,green
430,171,e0,842.694455318,244.51932342,0,0,0,0,0,5,yellow
430,173,e0,920.61718954,369.719866316,0,0,0,0,0,5,yellow
430,20,food,819.443511145,509.048314585,0,0,0,0,0,5,green
430,77,food,762.763625514,78.6515198332,0,0,0,0,0,5,green
430,82,food,484.717106353,366.707372888,0,0,0,0,0,5,green
430,48,food,813.861779449,359.003500062,0,0,0,0,0,5,green
430,156,e0,527.440983246,355.568440114,0,0,0,0,0,5,yellow
430,160,e0,612.577323119,220.54617732,0,0,0,0,0,5,yellow
430,104,food,782.645439608,61.8807127993,0,0,0,0,0,5,green
430,139,e0,863.521433022,69.2149114111,0,0,0,0,0,5,yellow
430,119,food,814.109330274,441.571223785,0,0,0,0,0,5,green
430,136,e0,67.4493725115,129.188547041,0,0,0,0,0,5,yellow
430,137,e0,529.030884819,420.958257614,0,0,0,0,0,5,yellow
430,169,e0,236.40063503,259.744040375,0,0,0,0,0,5,yellow
430,216,e0,694.227110021,569.554191106,0,0,0,0,0,5,yellow
430,122,e0,785.50745861,422.158065873,0,0,0,0,0,5,yellow
430,142,e0,540.886637247,356.891003692,0,0,0,0,0,5,yellow
430,12,psm,289.25702042,484.653401841,0,0,0,0,0,10,red
430,59,food,403.287900457,125.659746193,0,0,0,0,0,5,green
430,182,e0,961.799395903,252.930330287,0,0,0,0,0,5,yellow
430,115,food,728.343606811,250.552440007,0,0,0,0,0,5,green
430,144,e0,445.450550598,555.533202394,0,0,0,0,0,5,yellow
430,110,food,478.906572161,457.32373287,0,0,0,0,0,5,green
430,72,food,446.790668187,72.6306176677,0,0,0,0,0,5,green
430,73,food,780.706963655,523.010605066,0,0,0,0,0,5,green
430,98,food,542.001918968,315.20649889,0,0,0,0,0,5,green
430,24,food,733.069224167,92.1133391214,0,0,0,0,0,5,green
430,193,e0,796.607565892,103.082659891,0,0,0,0,0,5,yellow
430,212,e0,215.648905965,373.456044842,0,0,0,0,0,5,yellow
430,86,food,416.415855617,356.13832243,0,0,0,0,0,5,green
430,87,food,841.086584789,207.538685478,0,0,0,0,0,5,green
430,95,food,940.382779984,278.949823786,0,0,0,0,0,5,green
430,2,psm,482.138857717,330.439420679,0,0,0,0,0,10,red
430,40,food,442.694771602,255.501002106,0,0,0,0,0,5,green
430,206,e0,180.926143517,223.412415409,0,0,0,0,0,5,yellow
430,177,e0,347.32177445,256.116594403,0,0,0,0,0,5,yellow
430,60,food,778.453365475,502.485106204,0,0,0,0,0,5,green
430,155,e0,222.625140272,266.570631205,0,0,0,0,0,5,yellow
430,185,e0,109.864396101,255.069447937,0,0,0,0,0,5,yellow
430,50,food,445.330947244,204.764735458,0,0,0,0,0,5,green
430,56,food,711.259465774,28.7159542584,0,0,0,0,0,5,green
430,28,food,98.4238538573,314.45743004,0,0,0,0,0,5,green
430,65,food,838.034663362,386.890853832,0,0,0,0,0,5,green
430,195,e0,430.771254564,350.661724441,0,0,0,0,0,5,yellow
430,84,food,162.500094145,172.412358919,0,0,0,0,0,5,green
430,14,psm,185.020674563,319.71086723,0,0,0,0,0,10,red
430,62,food,42.9900951019,58.4256737667,0,0,0,0,0,5,green
430,120,e0,296.918800736,108.194922355,0,0,0,0,0,5,yellow
430,11,psm,361.906313717,450.294540638,0,0,0,0,0,10,red
430,22,food,860.337238364,323.818316808,0,0,0,0,0,5,green
430,78,food,505.497356866,297.22004349,0,0,0,0,0,5,green
430,209,e0,774.990819219,453.739136044,0,0,0,0,0,5,yellow
430,15,psm,753.075609138,314.359000126,0,0,0,0,0,10,red
430,196,e0,232.195441598,216.498780404,0,0,0,0,0,5,yellow
430,29,food,650.483346535,42.5795861135,0,0,0,0,0,5,green
