time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
10,145,e0,625.133432451,293.630477442,0,0,0,0,0,5,yellow
10,180,e0,290.179245113,72.3508628103,0,0,0,0,0,5,yellow
10,165,e0,667.622213621,419.657037005,0,0,0,0,0,5,yellow
10,211,e0,523.302808332,229.37844284,0,0,0,0,0,5,yellow
10,8,psm,307.951567875,421.987624828,0,0,0,0,0,10,red
20,145,e0,625.598098468,295.565352874,0,0,0,0,0,5,yellow
20,180,e0,290.979360813,74.1650841203,0,0,0,0,0,5,yellow
20,165,e0,667.033425357,417.755331989,0,0,0,0,0,5,yellow
20,211,e0,521.811345438,230.656224018,0,0,0,0,0,5,yellow
20,8,psm,307.786698241,421.965043254,0,0,0,0,0,10,red
20,205,e0,546.594454891,213.260736514,0,0,0,0,0,5,yellow
20,219,e0,184.602412253,60.2722079935,0,0,0,0,0,5,yellow
20,184,e0,339.260727571,278.918731761,0,0,0,0,0,5,yellow
20,92,food,109.138931674,91.8561320399,0,0,0,0,0,5,green
20,215,e0,757.173205081,242.1,0,0,0,0,0,5,yellow
30,145,e0,626.009211798,297.49925187,0,0,0,0,0,5,yellow
30,180,e0,291.048180691,76.1371993303,0,0,0,0,0,5,yellow
30,165,e0,666.965845454,415.804903676,0,0,0,0,0,5,yellow
30,211,e0,519.840561531,230.915554147,0,0,0,0,0,5,yellow
30,8,psm,307.620224427,421.959811075,0,0,0,0,0,10,red
30,205,e0,545.675078363,211.501989435,0,0,0,0,0,5,yellow
30,219,e0,182.738322556,59.6257609541,0,0,0,0,0,5,yellow
30,184,e0,338.159215822,280.563664278,0,0,0,0,0,5,yellow
30,92,food,110.607124532,90.5344066084,0,0,0,0,0,5,green
30,215,e0,758.966830237,242.955277706,0,0,0,0,0,5,yellow
30,63,food,903.706466001,519.492566209,0,0,0,0,0,5,green
30,49,food,681.398022021,257.741611229,0,0,0,0,0,5,green
30,162,e0,104.083581373,199.20480687,0,0,0,0,0,5,yellow
30,174,e0,260.211935422,92.3391675737,0,0,0,0,0,5,yellow
40,145,e0,626.245414994,299.450821815,0,0,0,0,0,5,yellow
40,180,e0,291.121014784,78.1242187587,0,0,0,0,0,5,yellow
40,165,e0,666.64286794,413.856747519,0,0,0,0,0,5,yellow
40,211,e0,517.943671978,231.531935605,0,0,0,0,0,5,yellow
40,8,psm,307.455154454,421.979782494,0,0,0,0,0,10,red
40,205,e0,545.073945488,209.606526184,0,0,0,0,0,5,yellow
40,219,e0,180.850122341,59.0695963191,0,0,0,0,0,5,yellow
40,184,e0,336.836067379,281.971055813,0,0,0,0,0,5,yellow
40,92,food,111.935622607,89.0633041225,0,0,0,0,0,5,green
40,215,e0,760.422953331,244.317908543,0,0,0,0,0,5,yellow
40,63,food,905.439638967,518.519612229,0,0,0,0,0,5,green
40,49,food,680.657422715,255.889868611,0,0,0,0,0,5,green
40,162,e0,105.056290843,197.497916101,0,0,0,0,0,5,yellow
40,174,e0,261.689497928,93.6311747324,0,0,0,0,0,5,yellow
40,188,e0,691.666830152,71.5586366632,0,0,0,0,0,5,yellow
50,145,e0,626.690908313,301.395986751,0,0,0,0,0,5,yellow
50,180,e0,290.355035427,79.918578376,0,0,0,0,0,5,yellow
50,165,e0,665.701001737,412.11562815,0,0,0,0,0,5,yellow
50,211,e0,515.974025,231.469521301,0,0,0,0,0,5,yellow
50,8,psm,307.296630218,422.030985137,0,0,0,0,0,10,red
50,205,e0,544.020589097,207.927634557,0,0,0,0,0,5,yellow
50,219,e0,178.917000605,58.6550196198,0,0,0,0,0,5,yellow
50,184,e0,335.186972916,283.091661257,0,0,0,0,0,5,yellow
50,92,food,112.818222271,87.2987902382,0,0,0,0,0,5,green
50,215,e0,761.751993506,245.804393213,0,0,0,0,0,5,yellow
50,63,food,907.341700524,517.970922079,0,0,0,0,0,5,green
50,49,food,679.631890981,254.18316725,0,0,0,0,0,5,green
50,162,e0,106.383612611,196.033882701,0,0,0,0,0,5,yellow
50,174,e0,263.204004391,94.9157144745,0,0,0,0,0,5,yellow
50,188,e0,693.341337562,70.4923847068,0,0,0,0,0,5,yellow
50,190,e0,932.013936121,281.619186363,0,0,0,0,0,5,yellow
50,76,food,929.56246201,370.289889094,0,0,0,0,0,5,green
50,18,psm,589.917525684,363.011884741,0,0,0,0,0,10,red
50,121,e0,880.823410481,518.093894313,0,0,0,0,0,5,yellow
60,145,e0,627.218642361,303.312050867,0,0,0,0,0,5,yellow
60,180,e0,290.19697707,81.8445311974,0,0,0,0,0,5,yellow
60,165,e0,664.972954396,410.258024844,0,0,0,0,0,5,yellow
60,211,e0,513.987545748,231.313196901,0,0,0,0,0,5,yellow
60,8,psm,307.142503954,422.094196863,0,0,0,0,0,10,red
60,205,e0,543.670715166,205.963819748,0,0,0,0,0,5,yellow
60,219,e0,176.927274809,58.5925400676,0,0,0,0,0,5,yellow
60,184,e0,333.631980743,284.302142339,0,0,0,0,0,5,yellow
60,92,food,113.993891938,85.704841267,0,0,0,0,0,5,green
60,215,e0,763.402768432,246.917623494,0,0,0,0,0,5,yellow
60,63,food,909.092115732,517.028315111,0,0,0,0,0,5,green
60,49,food,678.248773434,252.746071917,0,0,0,0,0,5,green
60,162,e0,108.270525647,195.438484762,0,0,0,0,0,5,yellow
60,174,e0,264.082651443,96.7013412462,0,0,0,0,0,5,yellow
60,188,e0,695.065864695,69.4886050515,0,0,0,0,0,5,yellow
60,190,e0,932.365718934,283.576662674,0,0,0,0,0,5,yellow
60,76,food,931.552733243,370.185565352,0,0,0,0,0,5,green
60,18,psm,589.753831937,363.0428149,0,0,0,0,0,10,red
