time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
310,145,e0,621.329373527,349.467852505,0,0,0,0,0,5,yellow
310,180,e0,320.634979997,95.6781651993,0,0,0,0,0,5,yellow
310,165,e0,641.973536347,370.912252129,0,0,0,0,0,5,yellow
310,211,e0,472.303086235,224.878928531,0,0,0,0,0,5,yellow
310,8,psm,306.535394098,425.405711008,0,0,0,0,0,10,red
310,205,e0,557.151338007,162.533504193,0,0,0,0,0,5,yellow
310,219,e0,131.406259549,67.892912301,0,0,0,0,0,5,yellow
310,184,e0,289.600781871,280.013996636,0,0,0,0,0,5,yellow
310,92,food,157.399260012,75.153104244,0,0,0,0,0,5,green
310,215,e0,803.123974581,245.710847241,0,0,0,0,0,5,yellow
310,63,food,949.363319959,506.87241946,0,0,0,0,0,5,green
310,49,food,658.748619144,210.312774401,0,0,0,0,0,5,green
310,162,e0,142.060527909,180.490851213,0,0,0,0,0,5,yellow
310,174,e0,280.903596795,140.10788368,0,0,0,0,0,5,yellow
310,188,e0,729.027894508,43.9815479373,0,0,0,0,0,5,yellow
310,190,e0,949.942978276,322.755399373,0,0,0,0,0,5,yellow
310,76,food,946.135965814,334.198613049,0,0,0,0,0,5,green
310,18,psm,589.56455865,366.132682941,0,0,0,0,0,10,red
310,121,e0,883.212005568,472.158047499,0,0,0,0,0,5,yellow
310,132,e0,605.123931766,169.684295957,0,0,0,0,0,5,yellow
310,151,e0,493.074714498,345.34616656,0,0,0,0,0,5,yellow
310,108,food,38.1871320283,365.111493393,0,0,0,0,0,5,green
310,197,e0,561.769449792,160.902713474,0,0,0,0,0,5,yellow
310,127,e0,275.549174553,370.086146696,0,0,0,0,0,5,yellow
310,170,e0,409.845483567,395.512192344,0,0,0,0,0,5,yellow
310,135,e0,354.026723748,266.144875021,0,0,0,0,0,5,yellow
310,159,e0,709.97864758,215.824128882,0,0,0,0,0,5,yellow
310,85,food,226.990631399,548.457121195,0,0,0,0,0,5,green
310,66,food,270.449528618,339.035391127,0,0,0,0,0,5,green
310,107,food,356.05234633,64.7651409311,0,0,0,0,0,5,green
310,147,e0,715.200225934,341.351329072,0,0,0,0,0,5,yellow
310,158,e0,275.34279618,226.89321592,0,0,0,0,0,5,yellow
310,39,food,256.14115313,382.901358677,0,0,0,0,0,5,green
310,70,food,508.285241386,162.085395135,0,0,0,0,0,5,green
310,34,food,263.546210715,403.372178313,0,0,0,0,0,5,green
310,100,food,810.714306841,380.438774747,0,0,0,0,0,5,green
310,31,food,120.552045158,73.5886455365,0,0,0,0,0,5,green
310,17,psm,564.067137916,216.855723502,0,0,0,0,0,10,red
310,114,food,818.385855999,297.895231993,0,0,0,0,0,5,green
310,46,food,426.29663616,412.067383168,0,0,0,0,0,5,green
310,172,e0,805.968798142,257.007831403,0,0,0,0,0,5,yellow
310,97,food,978.943141411,427.277207625,0,0,0,0,0,5,green
310,126,e0,822.622529691,80.0011556409,0,0,0,0,0,5,yellow
310,55,food,407.464522486,425.735388184,0,0,0,0,0,5,green
310,83,food,274.029204733,61.5341096473,0,0,0,0,0,5,green
310,88,food,622.59842987,128.679720285,0,0,0,0,0,5,green
310,203,e0,235.356785752,289.765106341,0,0,0,0,0,5,yellow
310,10,psm,99.5702471624,294.305986396,0,0,0,0,0,10,red
310,143,e0,385.021253211,453.124160119,0,0,0,0,0,5,yellow
310,198,e0,724.078674492,95.8159584617,0,0,0,0,0,5,yellow
310,3,psm,322.423866979,403.427636975,0,0,0,0,0,10,red
310,41,food,356.645510598,244.983406721,0,0,0,0,0,5,green
310,150,e0,164.097975866,517.601471354,0,0,0,0,0,5,yellow
310,0,psm,775.022572688,405.581661203,0,0,0,0,0,10,red
310,141,e0,492.980016139,499.055181968,0,0,0,0,0,5,yellow
310,61,food,658.513645859,199.732569592,0,0,0,0,0,5,green
310,103,food,120.245326279,399.176558008,0,0,0,0,0,5,green
310,69,food,283.020891501,231.571579291,0,0,0,0,0,5,green
310,140,e0,694.172368096,238.528954205,0,0,0,0,0,5,yellow
310,146,e0,701.864335021,379.544909721,0,0,0,0,0,5,yellow
310,1,psm,508.00949671,259.766914735,0,0,0,0,0,10,red
310,153,e0,610.247270465,55.1610546625,0,0,0,0,0,5,yellow
310,194,e0,189.127887884,471.602249212,0,0,0,0,0,5,yellow
310,71,food,528.454468849,107.149876071,0,0,0,0,0,5,green
310,168,e0,300.03608082,124.908562269,0,0,0,0,0,5,yellow
310,26,food,159.856423464,133.306837822,0,0,0,0,0,5,green
310,42,food,559.885708779,28.8919525853,0,0,0,0,0,5,green
310,67,food,330.236280538,429.501729411,0,0,0,0,0,5,green
310,38,food,106.40224592,363.36241908,0,0,0,0,0,5,green
310,129,e0,849.675730295,147.156375507,0,0,0,0,0,5,yellow
310,187,e0,346.207665497,495.008799532,0,0,0,0,0,5,yellow
